id,created_at,screen_name,clean_text,original_text,favorite_count,retweet_count,follower_count,polarity,subjectivity,hashtags,location
1126774289561047040,Fri May 10 09:01:39 +0000 2019,business,the wealthy founders of hedge fund quadrature capital plan to commit as much as million a year to fight climate change,The wealthy founders of hedge fund Quadrature Capital plan to commit as much as $100 million a year to fight climate change https://t.co/N4JLcyapLP,11,5,5322136,0.35,0.6,,New York and the World
1126774237086093312,Fri May 10 09:01:27 +0000 2019,Bardissimo,renewable energy is failing on a massive scale if we are serious about climate change like solving the climate change problem then when the hell will we wake up and eand nuclear energy we need more nuke power plants not some damn school strikes,"Renewable energy is failing on a massive scale. If we are serious about climate change, like solving the climate change problem, then when the hell will we wake up and expand nuclear energy? We need more nuke power plants, not some damn school strikes. https://t.co/bt36sBuHkW",13,3,89933,0.05555555555555556,0.7222222222222222,,"Stockholm, Sweden"
1126772865490010114,Fri May 10 08:56:00 +0000 2019,dw_environment,biodiversity loss will hurt us as much as climate change ipbes7 biodiversity,Biodiversity loss will hurt us as much as climate change. @IPBES @UNenvironment #IPBES7 #biodiversity,7,9,22698,0.2,0.2,"IPBES7, biodiversity",
1126772123999936512,Fri May 10 08:53:03 +0000 2019,bbcweather,climate change ireland declares climate emergency,Climate change: Ireland declares climate emergency https://t.co/oswQbqwrB1,9,5,430539,0.0,0.0,,United Kingdom
1126770110050340864,Fri May 10 08:45:03 +0000 2019,Jim_Cornelius,reminder is a climate change denier this is from september,Reminder. @Nigel_Farage is a climate change denier. This is from 11 September 2013. https://t.co/VT44W8eiek,59,39,16531,0.0,0.0,,"Lewes, East Sussex, UK"
1126769998607683584,Fri May 10 08:44:36 +0000 2019,Zackwri23910699,there is no such thing as a climate change denier it is just the usual slur against people who realise there has and always will be climate change and that agw is not the exaggerated doomsday scenario used by climate zealots and marxist money shifters,@ILuvCO2 @JWSpry @GaryWHall @allaboutheben @WBrettWilson there is no such thing as a climate change denier ….it is just the usual slur against people who realise there has and always will be climate change - and that AGW is not the exaggerated doomsday scenario used by climate zealots and Marxist money shifters,9,4,13,-0.25,0.5833333333333334,,
1126769959126720512,Fri May 10 08:44:27 +0000 2019,ClassOf82_AVFC,you should of seen the remoaners at marble arch blocking the roads about climate change and he slags off a couple on tv,@Birdyabroad You should of seen the remoaners at marble arch blocking the roads about climate change and he slags off a couple on tv,9,0,468,0.0,0.0,,
1126766970550906880,Fri May 10 08:32:34 +0000 2019,theprojecttv,most people agree that climate change is an imminent threat but no one in power doing anything here a final attempt to put it in a way politicians understand the project tv,"Most people agree that climate change is an imminent threat, but no one in power’s doing anything. Here’s a final attempt to put it in a way politicians understand. #TheProjectTV https://t.co/rjir0ACYn7",46,23,522632,0.25,0.75,TheProjectTV,Australia
1126766872295133184,Fri May 10 08:32:11 +0000 2019,ILuvCO2,personally i do not know of any notable climate change deniers you should get out more even former nasa atmospheric physicist and hansen former supervisor suddenly became a skeptic upon retirement,"@GaryWHall @allaboutheben @WBrettWilson @JWSpry ""Personally - I don't know of any notable climate change deniers"" ... You should get out more .. Even Former NASA Atmospheric Physicist &amp; Hansen's Former Supervisor Suddenly Became A Skeptic Upon Retirement  . https://t.co/MvT1XOzfg8",7,3,3168,0.14285714285714285,0.2571428571428572,,
1126766846860877825,Fri May 10 08:32:05 +0000 2019,TaodeHaas,let me get this right majority wants action on climate change nearly are going to vote for a party with the most climate change deniers the lnp for goodness sake are people that dumb confused or ignorant voting against their own interests like the nbn and abc auspol,"Let me get this right. Majority wants action on climate change. Nearly 50% are going to vote for a party with the most climate  change deniers, the LNP? For goodness sake are people that dumb, confused or ignorant. Voting against their own interests like the NBN &amp; ABC? #auspol",27,13,7629,0.1263392857142857,0.4794642857142857,auspol,"Sydney, New South Wales"
1126766630006996993,Fri May 10 08:31:13 +0000 2019,AustralianLabor,the liberals lies on climate change are going so well they are now insulting those who do not agree with them the chaos never stops auspol,"The Liberals' lies on climate change are going so well, they're now insulting those who don't agree with them. 
  
The chaos never stops. #auspol https://t.co/YHunpDEYI5",35,13,139965,-1.0,1.0,auspol,Australia
1126766563040694272,Fri May 10 08:30:57 +0000 2019,croydoncathy,david marr is right we know all of this climate change data the general public over the last decade has rallied to the cause unfortunately we have had government vacate the field abandoning the moral and practical leadership required opportunity to correct this on may thedrum,"David Marr is right. We know all of this climate change data.
The general public,over the last decade, has rallied to the cause
Unfortunately we’ve had Government vacate the field, abandoning the moral &amp; practical leadership required
Opportunity to correct this on May 18 #thedrum",11,4,1683,-0.027380952380952377,0.40317460317460313,thedrum,
1126766411718643712,Fri May 10 08:30:21 +0000 2019,theCALMzone,a snapshot of modern problems from comparing yourself with others online to being unable to stop climate change not our words but those of the guardian about our new podcast with hosted by and,"""A snapshot of modern problems, from comparing yourself with others online to being unable to stop climate change""

Not our words, but those of the Guardian about our new podcast with @davechannel (hosted by @laurenpattison &amp; @TechnicallyRon).  https://t.co/7jBURKfLfA",13,8,55851,-0.05454545454545454,0.4181818181818182,,United Kingdom
1126766408094736390,Fri May 10 08:30:20 +0000 2019,duncanshrubsole,and we wonder why there is climate change surely someone can say yes it was a nice idea but how about everyone just gets the tube to wembley instead,"And we wonder why there is climate change?!?
....surely someone can say yes it was a nice idea but how about everyone just gets the Tube to Wembley instead! https://t.co/ux5USfaUa5",5,0,2370,0.55,0.9444444444444444,,
1126766365539332096,Fri May 10 08:30:10 +0000 2019,CGIAR,technologies that aid soil carbon sequestration are often lowcost solutions for improving agricultural productivity resilience and carbon sequestration but are these technologies accessible environment via,"Technologies that aid soil carbon sequestration are often low-cost solutions for improving agricultural productivity, resilience and carbon sequestration. But are these technologies accessible? https://t.co/N2zITiCAQa #environment @UNFCCC_CTCN @UNFCCC @ICRAF via @SciDevNet https://t.co/rqt00Zlo8e",7,1,88962,0.375,0.375,environment,"Montpellier, France"
1126766215894974464,Fri May 10 08:29:34 +0000 2019,rnclelland,things like climate change denial and species extinction tend to be on a demarcation line around people who will be dead slightly before the planet choosing not to believe the science the drum ausvotes,"Things like climate change denial and species extinction tend to be on a demarcation line around people who'll be dead slightly before the planet choosing not to believe the science.
#TheDrum #ausvotes",6,4,658,-0.18333333333333335,0.2833333333333333,"TheDrum, ausvotes","Emerald City, Australia"
1126766137507602434,Fri May 10 08:29:16 +0000 2019,JaneEMCallaghan,i have been thinking about this a lot lately i think we need to stop the international conference thing in a digital era it is very hard to defend next one i organise will have virtual attendance we need to talk about climate change via,"I've been thinking about this a lot lately. I think we need to stop the international conference thing. In a digital era, it's very hard to defend.

Next one I organise will have virtual attendance

We need to talk about climate change https://t.co/bA8lI0XZl3 via @timeshighered",17,6,8030,-0.13583333333333333,0.26083333333333336,,"Scotland, United Kingdom"
1126765826089017344,Fri May 10 08:28:01 +0000 2019,Cath_Read,it is real people did vote for the green party because they like their policies and they are the only party who are serious about tackling climate change,"@mambamoss @GMB It is real, people did vote for the Green Party because they like their policies and they are the only party who are serious about tackling climate change.",6,0,203,-0.08333333333333333,0.5666666666666667,,Wiltshire
1126765808305098758,Fri May 10 08:27:57 +0000 2019,IWA_Wales,remaining in the eu is our best chance of responding to the climate emergency argues hywel ceri jones clickonwales,"Remaining in the EU is our best chance of responding to the #ClimateEmergency argues Hywel Ceri Jones #clickonwales

https://t.co/MXV8irq8Om https://t.co/Tprfbum7fs",6,7,15291,1.0,0.3,"ClimateEmergency, clickonwales","Cardiff, Wales"
